2,13,1,11,0,15,6,6,0,4,9,15,0,14,3,5,1,13,9,22
1,1,4,3,2,7,2,0,0,1,1,3,0,4,21,0,2,0,5,2
0,3,0,1,1,1,0,4,1,0,1,2,0,1,1,2,0,1,1,1
0,0,2,0,6,0,6,4,25,1,6,2,8,0,2,0,1,1,1,2
0,7,1,3,3,13,2,1,1,0,3,11,0,1,2,2,10,3,28,3
3,2,2,3,10,3,15,3,2,11,13,3,42,3,4,4,4,3,2,0
2,1,1,1,2,1,1,1,1,1,4,2,0,4,8,1,1,1,13,0
0,0,0,0,4,1,5,0,0,3,0,2,0,1,0,0,0,1,1,2
1,11,3,0,9,3,5,1,2,0,14,3,3,0,1,4,1,13,1,40
0,2,2,4,2,1,0,1,0,3,3,2,0,0,1,6,1,2,4,2
7,12,5,4,2,8,3,20,1,0,1,6,94,1,3,17,2,3,1,2
1,5,2,1,5,6,1,5,4,0,5,2,3,1,0,1,1,2,0,1
1,23,37,12,7,7,8,5,1,8,15,5,25,0,4,15,3,3,8,4
1,3,2,1,2,12,2,1,0,0,0,2,2,4,7,3,2,0,1,1
0,3,3,0,0,4,2,1,0,0,1,7,0,1,1,1,3,1,17,11
1,1,0,2,0,1,1,1,4,0,0,0,3,1,0,1,0,1,1,0
1,1,2,0,0,0,0,1,5,3,2,2,0,0,5,1,1,3,3,1
6,1,2,5,7,10,2,1,1,3,3,3,0,16,3,1,12,8,1,13
2,11,14,20,2,2,5,17,0,3,1,4,2,3,1,1,1,27,1,7
3,2,2,2,2,1,0,0,0,1,2,2,1,0,0,2,0,1,2,2
2,0,3,3,3,13,5,2,1,2,6,2,1,1,0,6,5,3,0,2
4,0,0,0,3,2,0,1,294,1,0,1,3,0,1,88,0,1,1,1
9,23,14,3,0,31,11,12,0,0,9,80,6,209,76,4,21,12,2,8
1,3,4,2,9,3,6,2,1,13,2,1,0,0,5,5,2,1,0,0
3,44,1,0,5,8,3,5,1,5,8,3,8,2,5,1,4,4,1,6
3,2,4,0,2,8,0,6,1,0,5,4,2,0,2,0,3,2,2,7
0,7,4,3,3,3,20,2,0,1,3,0,6,3,2,1,2,1,0,7
2,1,0,5,1,1,1,1,0,0,2,3,0,5,13,4,0,0,4,0
1,0,6,1,0,5,0,0,0,2,1,0,1,2,7,2,4,1,1,1
0,7,3,0,3,6,6,1,0,3,0,2,4,0,0,2,1,0,0,0
0,18,33,8,8,3,4,28,0,0,8,6,51,4,2,1,8,32,3,3
0,0,1,1,0,0,0,1,1,0,5,18,0,39,0,2,2,0,2,1
0,0,1,3,0,0,1,0,0,0,0,0,0,4,8,2,0,1,4,0
3,3,7,3,1,1,7,0,0,0,3,1,1,0,3,0,0,3,1,1
3,7,7,3,1,1,1,3,0,8,4,3,4,6,23,22,1,15,6,3
0,3,17,4,8,5,100,19,12,10,39,4,22,5,8,4,6,6,7,6
3,4,0,2,11,0,1,3,2,0,1,0,1,0,0,1,0,0,0,7
1,1,0,5,0,3,1,0,0,0,0,1,1,0,0,0,1,0,1,1
0,1,4,1,1,14,1,4,0,0,4,4,3,2,6,0,8,4,4,3
1,0,4,6,3,3,4,1,1,2,0,2,1,1,1,0,4,1,0,2
3,3,4,0,0,7,2,2,0,0,15,35,2,110,8,4,3,3,9,8
2,1,2,0,0,0,1,6,1,0,9,2,9,0,0,6,0,1,3,2
0,8,5,8,10,33,3,18,4,12,16,13,8,2,5,5,3,10,5,5
1,12,4,8,0,2,2,1,0,6,15,0,0,2,2,2,1,1,0,0
1,1,0,0,1,3,0,0,0,1,1,7,0,0,3,1,0,0,0,0
2,2,2,0,0,8,1,3,0,0,0,1,2,0,1,1,5,1,5,0
0,0,1,0,2,5,0,0,0,1,0,0,1,4,4,0,1,0,9,1
0,10,5,1,4,11,4,4,1,1,4,23,0,10,21,4,1,1,7,9
0,1,1,0,0,0,0,3,0,0,1,5,0,7,26,0,1,4,0,2
1,2,9,1,0,1,3,4,1,15,1,3,1,0,4,2,0,2,6,0
2,3,32,0,4,7,6,0,1,2,4,5,0,7,1,1,10,2,14,3
0,1,3,19,2,1,19,8,1,0,2,1,0,1,1,1,1,3,5,3
1,1,0,2,2,1,1,2,2,0,0,0,0,0,2,1,15,0,2,1
1,2,2,6,66,1,16,0,38,13,1,1,1,0,0,2,0,0,3,0
0,0,2,3,0,1,0,2,0,0,2,1,0,1,4,1,11,0,6,1
0,0,0,0,0,0,0,4,0,0,0,1,0,0,1,0,89,0,1,2
3,18,7,7,4,8,2,4,0,1,3,12,5,7,10,8,25,5,0,25
2,0,1,13,5,4,4,2,1,4,1,4,5,0,1,4,0,4,2,3
0,9,10,2,4,3,8,39,1,1,41,15,0,6,9,2,24,289,7,6
2,7,2,2,0,6,0,1,0,1,4,0,0,3,12,3,0,1,1,7
0,1,1,2,4,3,1,2,0,3,5,3,1,1,2,2,0,0,0,3
1,3,7,8,8,1,27,2,6,5,8,4,2,2,4,3,6,1,2,0
2,1,2,2,3,5,1,1,1,1,4,0,0,3,1,1,2,0,2,1
0,1,5,3,0,4,0,0,0,0,3,4,3,1,0,1,11,0,19,0
0,5,1,14,8,1,0,2,0,1,4,3,0,1,4,0,4,1,11,27
0,3,0,9,0,0,0,0,2,0,0,6,0,0,2,8,1,1,2,8
0,12,18,1,22,47,0,11,2,3,18,7,2,14,0,2,24,1,5,0
1,2,0,1,0,2,2,2,0,0,3,1,0,1,5,1,134,0,3,0
0,7,0,1,3,1,0,0,0,2,2,2,2,21,0,6,0,0,0,1
7,6,4,3,7,2,18,4,0,5,7,6,18,0,3,3,3,1,0,2
3,3,2,1,1,0,0,0,2,5,6,4,1,16,34,3,3,2,4,4
1,3,34,1,3,4,2,4,0,2,2,0,0,5,6,5,1,4,17,3
0,1,2,1,0,1,0,0,0,3,3,2,0,0,0,1,1,2,1,0
1,0,0,0,1,3,1,1,1,3,3,2,1,1,2,0,1,0,5,0
1,2,4,16,4,7,24,13,5,2,12,17,2,4,20,2,1,4,9,11
4,10,33,89,10,6,7,95,1,3,35,19,44,2,0,9,10,11,6,6
1,12,24,2,3,4,2,28,0,2,29,0,17,3,2,76,4,0,5,5
0,1,2,12,0,6,2,6,0,0,4,0,1,0,1,0,5,0,9,1
6,4,3,2,2,25,3,3,0,6,0,0,4,1,1,0,12,1,24,4
1,6,3,3,1,7,4,2,1,0,4,2,5,1,8,0,8,5,1,3
0,3,3,1,1,2,2,2,3,2,0,1,5,1,3,1,1,0,2,1
0,10,0,4,0,6,6,2,0,0,1,4,0,2,3,2,0,1,12,11
2,3,1,1,1,3,1,1,1,2,3,0,1,4,0,0,3,1,4,2
2,2,5,6,5,1,13,8,6,3,9,2,19,3,2,1,4,4,10,1
0,3,0,1,1,1,1,0,0,5,3,2,0,0,2,0,1,0,0,0
12,5,3,16,35,9,16,7,46,205,3,4,57,3,15,8,7,4,4,46
1,3,1,0,6,3,21,12,5,0,1,6,2,3,4,1,5,0,1,7
1,10,1,0,6,0,2,2,1,0,3,0,1,5,5,3,0,0,4,4
1,10,4,2,6,3,0,3,0,7,9,5,1,0,1,0,0,9,2,1
0,3,4,1,0,9,0,3,0,0,1,7,3,1,7,1,10,3,8,0
1,3,0,4,2,0,7,2,2,13,6,1,2,1,1,3,2,1,1,0
2,2,2,4,2,0,1,2,1,1,4,0,1,0,2,0,0,1,2,2
0,0,1,1,1,2,0,0,0,0,1,6,0,1,4,1,0,0,8,0
7,1,1,0,1,4,1,0,1,1,2,0,1,7,7,0,0,2,3,1
199,2,2,0,1,4,7,0,2,1,0,8,0,1,1,5,6,1,4,2
1,25,1,10,8,11,1,2,0,3,8,6,0,2,5,5,3,3,1,0
3,0,7,1,2,0,1,2,3,0,2,2,4,8,0,0,0,1,1,4
0,2,4,4,3,0,2,3,4,1,0,1,6,1,0,2,2,4,0,0
0,3,0,1,1,5,1,3,0,0,5,3,0,15,57,0,4,7,13,1
0,0,1,7,0,1,2,4,1,0,1,12,1,3,3,0,8,5,13,3
